Title,averageRating,voteCount
The Expendables,6.2,6737
Mrs. Harris Goes to Paris,7.5,78
Halloween II,6.6,1614
Back to the Future,8.3,17094
John Wick,7.4,16218
Alice in Wonderland,7.2,5101
Jurassic World: Fallen Kingdom,6.6,10291
John Wick: Chapter 4,0,0
Predator,7.5,6576
Aladdin,7.1,8857
The Dark Knight Rises,7.8,20080
Gods of Egypt,5.6,3566
Ice Age: The Meltdown,6.7,8546
Halloween 5: The Revenge of Michael Myers,5.4,940
Outside the Wire,6.4,1516
Pokémon Detective Pikachu,7,5834
Spider-Man 3,6.4,12109
Superfast!,5,314
Nightbooks,6.3,283
Avatar: Scene Deconstruction,8.3,10
Descendants: The Royal Wedding,6.8,124
Curse of Chucky,5.9,1280
Peter Rabbit 2: The Runaway,7.2,621
King Tweety,7,71
Wrong Turn 4: Bloody Beginnings,5.7,866
The Green Mile,8.5,14547
Exodus: Gods and Kings,5.8,4030
Dinosaur,6.5,2113
How to Train Your Dragon,7.8,11275
Scary Movie 4,5.5,2723
The Equalizer 2,6.6,4151
Get Out,7.6,14782
Happy Feet,6.1,4396
Rambo: Last Blood,6.5,3193
Sing,7.1,6997
Mickey and Minnie Wish Upon a Christmas,6.9,127
Pacific Rim: Uprising,6.1,4148
Captain America: The First Avenger,7,19151
Game of Love,5,6
Jumanji: The Next Level,7,7236
Father Stu,7.5,315
Godzilla: King of the Monsters,6.7,5034
Wrath of the Titans,5.7,3666
Call Me by Your Name,8.2,10594
Host,6.5,611
Dark Phoenix,6,5479
Need for Speed,6.4,3739
Senior Year,5.9,522
Gone Mom: The Disappearance of Jennifer Dulos,7.8,212
An Interview with God,7,212
Scream,7.4,5366
Split,7.3,15418
Shamelessly She-Hulk,5.8,11
The Nun II,0,0
Gifted,8.1,4530
Lilo & Stitch,7.5,5196
The Last Airbender,4.7,3423
Marry Me,6.9,604
Sexo,5.1,20
Madagascar: Escape 2 Africa,6.5,5926
The Dark Knight,8.5,28469
Terminator Salvation,6,5597
Ralph Breaks the Internet,7.2,6478
Gunpowder Milkshake,6.4,706
Escape Room: Tournament of Champions,6.7,1364
Love in the Villa,5.9,179
Ice Age: Continental Drift,6.3,6613
PAW Patrol: Jet To The Rescue,7,149
Accident Man: Hitman's Holiday,6.4,21
Jiu Jitsu,4.9,513
Skylines,5.6,443
Fortress,6.1,259
The Little Mermaid,0,0
Inglourious Basterds,8.2,19330
Separation,5.8,162
War Dogs,6.9,4129
Sicario,7.4,7219
Ferdinand,7.2,2472
Kingsman: The Secret Service,7.6,14787
Monsters University,7,9333
Down,6.7,156
The Misfits,5.5,296
Cold Pursuit,5.7,2118
The Good Dinosaur,6.7,4785
Jupiter Ascending,5.4,6034
Fast X,0,0
Last Night in Soho,7.4,2089
Alien: Covenant,6.1,7326
Enola Holmes 2,0,0
Awake,6,882
Friday the 13th,5.8,2126
Snoopy Presents: Lucy's School,7.4,20
Bohemian Rhapsody,8,15130
Alita: Battle Angel,7.2,7770
Power Rangers,6.3,3962
Cinderella II: Dreams Come True,6.1,1219
13 Hours: The Secret Soldiers of Benghazi,7.3,2949
I Used to Be Famous,7.4,99
The Texas Chainsaw Massacre,6.2,2179
Blade Runner 2049,7.5,11195
Home Alone 2: Lost in New York,6.7,7992
Annabelle,5.7,5367
Halloween H20: 20 Years Later,6,1323
Jackass Forever,6.9,516
The Matrix,8.2,22256
Dark Blood,5,9
Hansel & Gretel: Witch Hunters,6,6030
Trolls Holiday in Harmony,7.2,151
Lucy Shimmers And The Prince Of Peace,8.6,71
The Game Plan,6.4,1693
Suicide Squad,5.9,19236
The Croods,6.9,6185
American Pie Presents: Beta House,5.6,1608
Silent Hill: Revelation 3D,5.5,1340
Hotel Transylvania 3: Summer Vacation,6.9,3740
Tenet,7.2,7672
Fantastic Beasts and Where to Find Them,7.3,17115
Gone Girl,7.9,16307
Captain Marvel,6.9,13576
Sweet Girl,6.7,984
Crush,7.7,268
Unbroken: Path to Redemption,6.9,108
Apocalypto,7.5,4567
Garfield,5.6,3305
Virgin Territory,4.5,251
Rocky IV,7.1,3599
Sicario: Day of the Soldado,6.9,2890
WALL·E,8.1,16265
Fire Island,7.2,128
Friday the 13th,6.4,2312
Marmaduke,5.5,54
Addams Family Values,6.9,2401
Good Mourning,6.4,17
Swim,6.5,37
Megalodon,5.6,226
Aladdin,7.6,9925
Spider-Man: All Roads Lead to No Way Home,7,25
Ant-Man and the Wasp: Quantumania,0,0
Warrior,7.8,3843
